epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,629.7,1.05766,3.28053,0.8657,0.09299,0.28776,0.08615,0.06894,0.75564,2.85287,0.8183,5.95985e-05,5.95985e-05,5.95985e-05
2,1202.18,0.95218,2.81541,0.85267,0.18974,0.43575,0.20658,0.16918,0.69157,2.34877,0.81149,7.99076e-05,7.99076e-05,7.99076e-05
3,1719.87,0.88432,2.47338,0.84482,0.26932,0.51674,0.30724,0.25773,0.64087,2.07352,0.80598,6.08368e-05,6.08368e-05,6.08368e-05
