epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,229.106,0.34051,2.22247,0.90116,0.67132,0.60727,0.6874,0.64883,0.43721,1.63197,0.915,3.7232e-05,3.7232e-05,3.7232e-05
42,234.675,0.34724,2.27406,0.90211,0.65867,0.59395,0.68178,0.64535,0.43218,1.71036,0.91633,3.36878e-05,3.36878e-05,3.36878e-05
43,240.45,0.32637,2.15118,0.89593,0.62941,0.64165,0.69855,0.66987,0.39543,1.56269,0.8972,3.01436e-05,3.01436e-05,3.01436e-05
44,246.473,0.32402,2.11836,0.89215,0.63836,0.64293,0.69904,0.66682,0.4074,1.50236,0.90149,2.65994e-05,2.65994e-05,2.65994e-05
45,252.179,0.32538,2.11914,0.89195,0.6552,0.63923,0.70611,0.67501,0.40327,1.45168,0.89894,2.30552e-05,2.30552e-05,2.30552e-05
46,257.752,0.31701,2.10682,0.88855,0.63902,0.67301,0.73715,0.70387,0.39068,1.41635,0.89453,1.9511e-05,1.9511e-05,1.9511e-05
47,263.172,0.32803,2.09047,0.88868,0.67355,0.65118,0.72391,0.69112,0.38117,1.40754,0.88825,1.59668e-05,1.59668e-05,1.59668e-05
48,268.965,0.31619,2.07757,0.88873,0.61711,0.67687,0.72271,0.68845,0.37839,1.39865,0.88692,1.24226e-05,1.24226e-05,1.24226e-05
49,274.694,0.32323,2.04893,0.90432,0.62496,0.67907,0.74143,0.70634,0.37542,1.36319,0.88564,8.8784e-06,8.8784e-06,8.8784e-06
50,280.545,0.304,2.02269,0.87367,0.67259,0.66487,0.74247,0.70793,0.37449,1.33589,0.8851,5.3342e-06,5.3342e-06,5.3342e-06
