epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2864.66,1.51428,4.6577,0.99695,0.04157,0.14262,0.03187,0.0247,0.86998,3.27284,0.83229,5.95985e-05,5.95985e-05,5.95985e-05
2,5435.28,1.01472,3.05267,0.86219,0.15289,0.40131,0.16298,0.13152,0.73197,2.49911,0.81634,0.000115329,0.000115329,0.000115329
3,15528.9,0.90019,2.47086,0.84798,0.28881,0.53287,0.33373,0.27698,0.66629,2.0038,0.80832,0.000167122,0.000167122,0.000167122
4,24402.8,0.84318,2.09141,0.83885,0.41748,0.63697,0.51269,0.43363,0.62177,1.62425,0.80319,0.000161279,0.000161279,0.000161279
5,32451.1,0.79673,1.79355,0.83243,0.55654,0.7089,0.65641,0.55852,0.60809,1.32694,0.80181,0.000155372,0.000155372,0.000155372
6,36262.1,0.76988,1.56237,0.82855,0.67074,0.74458,0.76398,0.66001,0.57411,1.10217,0.79904,0.000149465,0.000149465,0.000149465
7,36677.3,0.7477,1.40226,0.82637,0.73548,0.80235,0.83178,0.7162,0.57671,0.95339,0.79937,0.000143558,0.000143558,0.000143558
