epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3591.28,0.35357,0.53098,0.9128,0.97639,0.96163,0.9895,0.97805,0.19381,0.20497,0.795,0.0095941,0.0095941,0.0095941
43,3676.58,0.34387,0.51087,0.903,0.97839,0.96049,0.99071,0.98011,0.1835,0.19936,0.795,0.0095842,0.0095842,0.0095842
44,3761.31,0.35153,0.52327,0.91101,0.97287,0.96144,0.9893,0.97701,0.19435,0.20516,0.79915,0.0095743,0.0095743,0.0095743
45,3846.64,0.34363,0.50905,0.90209,0.97922,0.95944,0.98969,0.97898,0.19123,0.19955,0.79542,0.0095644,0.0095644,0.0095644
46,3931.6,0.34944,0.52169,0.90832,0.98201,0.96119,0.99096,0.98075,0.18977,0.19564,0.79534,0.0095545,0.0095545,0.0095545
47,4017.16,0.34133,0.51101,0.90082,0.98088,0.96313,0.99037,0.98108,0.183,0.19413,0.79413,0.0095446,0.0095446,0.0095446
48,4102.9,0.341,0.51227,0.90336,0.98669,0.95721,0.99039,0.98016,0.17813,0.1884,0.79312,0.0095347,0.0095347,0.0095347
49,4188.05,0.34159,0.50667,0.90309,0.97501,0.9709,0.99091,0.98146,0.18079,0.1897,0.79208,0.0095248,0.0095248,0.0095248
50,4273.93,0.33707,0.49928,0.9005,0.98391,0.96341,0.99076,0.98228,0.17811,0.18556,0.7906,0.0095149,0.0095149,0.0095149
51,4359.62,0.33676,0.50912,0.90101,0.98068,0.96585,0.9913,0.98115,0.18578,0.18532,0.79423,0.009505,0.009505,0.009505
52,4445.77,0.33382,0.49807,0.89796,0.985,0.96381,0.99092,0.98195,0.17876,0.18021,0.79177,0.0094951,0.0094951,0.0094951
53,4530.61,0.33498,0.49773,0.90233,0.98564,0.96588,0.9914,0.98342,0.17502,0.17863,0.78978,0.0094852,0.0094852,0.0094852
54,4615.68,0.32746,0.46918,0.89295,0.98376,0.96919,0.99156,0.98212,0.17841,0.1801,0.79371,0.0094753,0.0094753,0.0094753
55,4701.46,0.32637,0.48423,0.90004,0.98734,0.964,0.99202,0.98345,0.17627,0.1799,0.7917,0.0094654,0.0094654,0.0094654
56,4786.45,0.3303,0.48309,0.89775,0.98149,0.97082,0.99158,0.98301,0.16977,0.17649,0.78756,0.0094555,0.0094555,0.0094555
57,4871.73,0.32772,0.47862,0.89794,0.98298,0.97173,0.99208,0.98489,0.16724,0.17607,0.78835,0.0094456,0.0094456,0.0094456
58,4956.84,0.32917,0.48516,0.89693,0.9875,0.96987,0.99239,0.98437,0.17307,0.17354,0.78905,0.0094357,0.0094357,0.0094357
59,5042.52,0.32807,0.48006,0.8967,0.98865,0.96668,0.99244,0.98477,0.16806,0.16849,0.78626,0.0094258,0.0094258,0.0094258
60,5127.39,0.3205,0.4634,0.89255,0.99131,0.97183,0.9929,0.98364,0.17144,0.16335,0.78957,0.0094159,0.0094159,0.0094159
61,5212.72,0.32096,0.46164,0.89459,0.9891,0.9728,0.99265,0.98571,0.16661,0.16192,0.78616,0.009406,0.009406,0.009406
62,5297.93,0.31842,0.46743,0.88963,0.98669,0.97164,0.99235,0.98546,0.16539,0.16087,0.78545,0.0093961,0.0093961,0.0093961
63,5383.06,0.3159,0.45722,0.89278,0.98617,0.97359,0.99306,0.98645,0.16569,0.1619,0.7865,0.0093862,0.0093862,0.0093862
64,5468.75,0.31913,0.45894,0.89412,0.99101,0.97437,0.99266,0.98648,0.16207,0.15726,0.78411,0.0093763,0.0093763,0.0093763
65,5554.62,0.31763,0.46904,0.89614,0.98594,0.97468,0.99246,0.98574,0.16772,0.16134,0.78649,0.0093664,0.0093664,0.0093664
66,5639.94,0.31422,0.45064,0.89308,0.99091,0.9722,0.99287,0.98625,0.16208,0.15645,0.78435,0.0093565,0.0093565,0.0093565
67,5725.97,0.31432,0.46654,0.89319,0.99064,0.9705,0.99276,0.98635,0.1607,0.15699,0.78564,0.0093466,0.0093466,0.0093466
68,5810.99,0.3125,0.45413,0.89061,0.98736,0.97624,0.99324,0.98753,0.1623,0.15704,0.78426,0.0093367,0.0093367,0.0093367
69,5896.48,0.31199,0.45336,0.88956,0.98795,0.97405,0.99238,0.98701,0.15988,0.15598,0.78256,0.0093268,0.0093268,0.0093268
70,5981.87,0.30823,0.44655,0.88686,0.98482,0.97794,0.9932,0.9879,0.15857,0.15184,0.78335,0.0093169,0.0093169,0.0093169
71,6067.46,0.30519,0.45596,0.88854,0.99041,0.97235,0.99285,0.98648,0.16208,0.15458,0.78318,0.009307,0.009307,0.009307
72,6152.74,0.31354,0.45341,0.89058,0.98642,0.97354,0.99303,0.98747,0.1544,0.15085,0.78206,0.0092971,0.0092971,0.0092971
73,6237.75,0.30384,0.44576,0.88834,0.98995,0.97264,0.99292,0.98715,0.15758,0.15449,0.78317,0.0092872,0.0092872,0.0092872
74,6322.81,0.30753,0.44319,0.88714,0.99053,0.97588,0.99306,0.98734,0.15933,0.14729,0.78193,0.0092773,0.0092773,0.0092773
75,6407.77,0.30355,0.4347,0.8853,0.99023,0.97472,0.99319,0.9874,0.15443,0.14829,0.78328,0.0092674,0.0092674,0.0092674
76,6492.39,0.30196,0.43857,0.88805,0.98781,0.97257,0.99277,0.98695,0.1562,0.15448,0.78397,0.0092575,0.0092575,0.0092575
77,6577.44,0.30375,0.43693,0.88523,0.99294,0.97762,0.9938,0.9877,0.15924,0.14485,0.78343,0.0092476,0.0092476,0.0092476
78,6663.56,0.30207,0.44472,0.88935,0.99273,0.97625,0.99328,0.98716,0.15627,0.14688,0.78208,0.0092377,0.0092377,0.0092377
79,6748.75,0.2982,0.43273,0.88392,0.99028,0.97653,0.99339,0.98827,0.15446,0.14478,0.78044,0.0092278,0.0092278,0.0092278
80,6833.82,0.29892,0.42729,0.88462,0.99315,0.9732,0.99314,0.98774,0.15285,0.14626,0.78097,0.0092179,0.0092179,0.0092179
81,6919.21,0.2998,0.42666,0.88055,0.9919,0.9728,0.99317,0.98883,0.15214,0.14369,0.77904,0.009208,0.009208,0.009208
82,7004.6,0.30493,0.44175,0.88887,0.99298,0.97693,0.9932,0.98835,0.15033,0.14517,0.78064,0.0091981,0.0091981,0.0091981
83,7089.6,0.30001,0.4384,0.88387,0.98817,0.97808,0.99337,0.98808,0.15236,0.14243,0.78099,0.0091882,0.0091882,0.0091882
84,7175.58,0.29466,0.4277,0.88185,0.98995,0.97516,0.99306,0.98772,0.14981,0.14521,0.77972,0.0091783,0.0091783,0.0091783
85,7261.51,0.2952,0.42858,0.8827,0.99101,0.97764,0.99309,0.98805,0.15117,0.14209,0.77869,0.0091684,0.0091684,0.0091684
86,7348.06,0.30005,0.42922,0.88512,0.98896,0.97554,0.99315,0.98906,0.14936,0.14353,0.77838,0.0091585,0.0091585,0.0091585
87,7435,0.28946,0.41783,0.87968,0.99021,0.97523,0.99345,0.98851,0.15228,0.1445,0.78012,0.0091486,0.0091486,0.0091486
88,7522.57,0.28975,0.41535,0.88173,0.98993,0.97476,0.9931,0.98776,0.14931,0.14499,0.77885,0.0091387,0.0091387,0.0091387
89,7610.36,0.29192,0.41475,0.88088,0.98576,0.98093,0.99367,0.98851,0.15006,0.13882,0.78005,0.0091288,0.0091288,0.0091288
90,7694.94,0.28828,0.41422,0.87898,0.99316,0.97317,0.99332,0.98841,0.14702,0.13826,0.77812,0.0091189,0.0091189,0.0091189
91,7780.13,0.28842,0.42293,0.87918,0.98576,0.98143,0.99353,0.98952,0.1445,0.14122,0.77735,0.009109,0.009109,0.009109
92,7865.32,0.29502,0.42321,0.88362,0.99155,0.97701,0.99379,0.98915,0.14596,0.13711,0.77813,0.0090991,0.0090991,0.0090991
93,7950.54,0.28469,0.41043,0.87862,0.99187,0.97912,0.99323,0.98868,0.14447,0.1374,0.77742,0.0090892,0.0090892,0.0090892
94,8035.27,0.28851,0.41462,0.87786,0.99069,0.97846,0.99367,0.98942,0.14616,0.13855,0.77797,0.0090793,0.0090793,0.0090793
95,8119.9,0.28202,0.40923,0.87478,0.99063,0.97902,0.9934,0.98904,0.14509,0.1331,0.77686,0.0090694,0.0090694,0.0090694
96,8204.68,0.28864,0.41725,0.88135,0.99286,0.97936,0.99368,0.98903,0.14825,0.13471,0.77698,0.0090595,0.0090595,0.0090595
97,8289.54,0.28671,0.41313,0.88242,0.99086,0.97943,0.9933,0.9898,0.13981,0.13138,0.7754,0.0090496,0.0090496,0.0090496
98,8374.9,0.28583,0.41561,0.88044,0.98952,0.9789,0.99378,0.99017,0.1422,0.13199,0.77588,0.0090397,0.0090397,0.0090397
99,8460.42,0.28602,0.41408,0.88055,0.99091,0.98012,0.99322,0.98929,0.13998,0.13001,0.77513,0.0090298,0.0090298,0.0090298
100,8545.68,0.28077,0.40324,0.87314,0.99115,0.97744,0.99359,0.98939,0.14066,0.13371,0.77613,0.0090199,0.0090199,0.0090199
101,8631.98,0.28547,0.41063,0.87844,0.99108,0.97739,0.99401,0.9899,0.14535,0.13403,0.77793,0.00901,0.00901,0.00901
102,8717.73,0.28345,0.40107,0.87829,0.99157,0.97623,0.99342,0.98913,0.14341,0.13176,0.77645,0.0090001,0.0090001,0.0090001
103,8803.34,0.28093,0.40662,0.87565,0.99223,0.97658,0.99362,0.98964,0.14133,0.13225,0.77612,0.0089902,0.0089902,0.0089902
104,8888.58,0.28151,0.39592,0.87271,0.99204,0.97699,0.99358,0.98994,0.13896,0.13156,0.7763,0.0089803,0.0089803,0.0089803
105,8973.93,0.28583,0.41365,0.87922,0.98936,0.978,0.9936,0.98952,0.13925,0.13264,0.77661,0.0089704,0.0089704,0.0089704
106,9059.08,0.27913,0.40077,0.87459,0.98786,0.97872,0.99394,0.98991,0.13928,0.13107,0.77571,0.0089605,0.0089605,0.0089605
107,9145.28,0.2828,0.40782,0.87714,0.98641,0.98016,0.99359,0.99032,0.14017,0.13222,0.77541,0.0089506,0.0089506,0.0089506
108,9231.21,0.27972,0.39689,0.87894,0.99148,0.98182,0.99361,0.99031,0.13867,0.12701,0.77505,0.0089407,0.0089407,0.0089407
109,9316.83,0.27797,0.39358,0.87443,0.98866,0.98066,0.99359,0.99032,0.14075,0.12902,0.77486,0.0089308,0.0089308,0.0089308
110,9401.82,0.27722,0.39916,0.87351,0.99254,0.97562,0.99344,0.98979,0.13731,0.1312,0.77487,0.0089209,0.0089209,0.0089209
111,9486.78,0.27561,0.38961,0.87452,0.98635,0.98037,0.99376,0.99004,0.13815,0.13171,0.77487,0.008911,0.008911,0.008911
112,9572.08,0.27323,0.38845,0.87114,0.99093,0.97427,0.99383,0.99038,0.13765,0.13042,0.77552,0.0089011,0.0089011,0.0089011
113,9656.9,0.27878,0.39963,0.87729,0.99097,0.97717,0.99355,0.99035,0.13773,0.12932,0.77454,0.0088912,0.0088912,0.0088912
114,9741.35,0.27798,0.39401,0.87469,0.99267,0.97628,0.99378,0.99054,0.13937,0.1311,0.77446,0.0088813,0.0088813,0.0088813
115,9826.53,0.27401,0.3968,0.8737,0.99083,0.97879,0.99382,0.99022,0.13902,0.12864,0.77465,0.0088714,0.0088714,0.0088714
116,9911.39,0.27627,0.39543,0.87686,0.98999,0.97886,0.99417,0.99069,0.13313,0.12442,0.77328,0.0088615,0.0088615,0.0088615
117,9996.72,0.27044,0.38536,0.87178,0.98923,0.98133,0.99386,0.99101,0.1337,0.12413,0.77263,0.0088516,0.0088516,0.0088516
118,10081.8,0.27474,0.38941,0.87244,0.98874,0.97905,0.99344,0.99006,0.13715,0.12928,0.77476,0.0088417,0.0088417,0.0088417
119,10166.9,0.26864,0.38381,0.87152,0.98961,0.98125,0.99373,0.99093,0.13544,0.12481,0.77391,0.0088318,0.0088318,0.0088318
120,10253,0.27758,0.40589,0.87639,0.99293,0.97775,0.99402,0.99049,0.13506,0.12374,0.77313,0.0088219,0.0088219,0.0088219
121,10338.2,0.27125,0.3913,0.87278,0.99132,0.97989,0.99385,0.99044,0.13666,0.12458,0.77355,0.008812,0.008812,0.008812
122,10423.8,0.2667,0.37999,0.86837,0.9917,0.97952,0.99395,0.99072,0.13678,0.12438,0.77376,0.0088021,0.0088021,0.0088021
